사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Sep,2호선,32,강남,107 ,4 ,6632 ,11455 ,15315 ,44203 ,31775 ,120400 ,47717 ,265844 ,36874 ,253389 ,35908 ,114201 ,49351 ,78755 ,59641 ,74855 ,70365 ,91514 ,81041 ,81401 ,104012 ,76283 ,118539 ,77176 ,189508 ,91912 ,279907 ,119719 ,174513 ,79316 ,125121 ,38156 ,133243 ,29221 ,95295 ,20096 ,31153 ,14135 ,8 ,13 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,33,교대(법원.검찰청),13 ,0 ,1936 ,6758 ,10443 ,23689 ,20027 ,46197 ,27619 ,135847 ,21622 ,118897 ,20266 ,56444 ,24985 ,40679 ,27803 ,36505 ,31941 ,43107 ,40241 ,41277 ,45436 ,37083 ,49879 ,34937 ,83840 ,40567 ,125506 ,50156 ,56710 ,32377 ,41270 ,17459 ,42085 ,15152 ,26114 ,10881 ,9250 ,7049 ,3 ,41 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,34,서초,23 ,0 ,1133 ,4365 ,6336 ,17919 ,11392 ,41106 ,18018 ,105902 ,17590 ,71683 ,13972 ,28206 ,15150 ,17708 ,16234 ,15993 ,18692 ,18743 ,23430 ,16023 ,27931 ,15421 ,32750 ,14941 ,57321 ,16363 ,87218 ,17292 ,35839 ,11594 ,22629 ,7723 ,22083 ,6535 ,12420 ,5097 ,3682 ,2760 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,35,방배,7 ,0 ,2332 ,3540 ,8219 ,12417 ,19232 ,25222 ,25096 ,60202 ,19595 ,38805 ,13682 ,17449 ,13446 ,14709 ,15380 ,15592 ,17580 ,16998 ,18517 ,16150 ,20747 ,16912 ,25272 ,18109 ,35588 ,24009 ,57141 ,31171 ,24821 ,22845 ,16759 ,13878 ,16191 ,13027 ,12373 ,10065 ,3874 ,5805 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,36,사당,111 ,5 ,12050 ,3421 ,22365 ,25053 ,62573 ,37081 ,82925 ,55537 ,59145 ,39814 ,34340 ,31340 ,30248 ,32030 ,35525 ,33365 ,36079 ,35401 ,36919 ,36925 ,37932 ,45441 ,42212 ,58003 ,54502 ,82623 ,76593 ,120810 ,50309 ,87473 ,43432 ,50563 ,43740 ,47139 ,33345 ,36450 ,14542 ,22129 ,13 ,2038 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,37,낙성대(강감찬),38 ,6 ,10921 ,1807 ,22735 ,8229 ,67642 ,16215 ,103605 ,32482 ,65920 ,26968 ,32832 ,19866 ,26818 ,17845 ,29154 ,20733 ,29966 ,21935 ,27351 ,24676 ,28162 ,28955 ,30962 ,33653 ,36971 ,49470 ,41616 ,84480 ,25134 ,72455 ,18431 ,45209 ,17441 ,42165 ,12993 ,34713 ,5039 ,18575 ,8 ,1616 ,1 ,1 ,0 ,0 ,0 ,0 
20-Sep,2호선,38,서울대입구(관악구청),4049 ,37 ,27789 ,2269 ,37984 ,11932 ,108073 ,25446 ,155956 ,54074 ,99201 ,50016 ,51646 ,38509 ,44581 ,35782 ,47289 ,38116 ,49646 ,43486 ,47838 ,46093 ,50314 ,52083 ,56065 ,61535 ,63052 ,84852 ,74316 ,146145 ,46378 ,120958 ,37917 ,71304 ,37260 ,68631 ,28890 ,52357 ,11317 ,30698 ,1 ,8947 ,0 ,0 ,3 ,2 ,0 ,0 
20-Sep,2호선,39,봉천,48 ,0 ,14831 ,1443 ,25669 ,6204 ,70839 ,11709 ,103362 ,22321 ,61387 ,17586 ,30773 ,15840 ,24588 ,16675 ,25636 ,18215 ,25948 ,19720 ,23405 ,22655 ,23370 ,29967 ,24264 ,32446 ,25981 ,45961 ,28679 ,76367 ,17180 ,62744 ,13057 ,39129 ,12216 ,36548 ,8756 ,26664 ,2884 ,15270 ,3 ,224 ,0 ,1 ,0 ,0 ,0 ,0 
20-Sep,2호선,40,신림,285 ,18 ,37085 ,4193 ,69910 ,18619 ,181052 ,28780 ,263726 ,52706 ,154891 ,45090 ,78847 ,36470 ,63594 ,37227 ,66611 ,42660 ,64254 ,49704 ,60524 ,56608 ,58527 ,71556 ,65087 ,84057 ,68631 ,123280 ,72218 ,217233 ,50026 ,183785 ,41141 ,115204 ,38751 ,112614 ,29088 ,82627 ,11999 ,52912 ,3 ,92 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,41,신대방,137 ,5 ,24321 ,2115 ,32209 ,8899 ,77710 ,16387 ,109289 ,29035 ,65595 ,18214 ,34674 ,14920 ,26882 ,15611 ,27397 ,18652 ,26116 ,20430 ,23665 ,23290 ,23254 ,31427 ,26003 ,36461 ,29834 ,53347 ,35405 ,84478 ,20779 ,69192 ,14927 ,45423 ,11585 ,51214 ,8376 ,36433 ,3290 ,21233 ,1 ,6 ,0 ,0 ,0 ,0 ,0 ,0 
